,AGE,DRIVING_EXPERIENCE,CREDIT_SCORE,VEHICLE_OWNERSHIP,MARRIED,CHILDREN,ANNUAL_MILEAGE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME,sports car,minority,before 2015,male,ENCODED_EDUCATION,ENCODED_INCOME
0,72.5,4.5,0.629027313918201,1.0,0.0,1.0,12000.0,0,0,0,0.0,0,0,0,0,1.0,3.0
1,20.5,4.5,0.3577571170184627,0.0,0.0,0.0,16000.0,0,0,0,1.0,0,0,1,1,0.0,0.0
2,20.5,4.5,0.4931457852181982,1.0,0.0,0.0,11000.0,0,0,0,0.0,0,0,1,0,1.0,1.0
3,20.5,4.5,0.2060128507324556,1.0,0.0,1.0,11000.0,0,0,0,0.0,0,0,1,1,2.0,1.0
4,32.5,14.5,0.3883658881572184,1.0,0.0,0.0,12000.0,2,0,1,1.0,0,0,1,1,0.0,1.0
5,52.0,24.5,0.6191273725847388,1.0,0.0,1.0,13000.0,3,0,3,0.0,0,0,0,0,1.0,3.0
6,72.5,45.0,0.4929435502195342,0.0,1.0,1.0,13000.0,7,0,3,0.0,0,0,0,1,1.0,3.0
7,32.5,4.5,0.468689297434465,0.0,0.0,1.0,14000.0,0,0,0,1.0,0,0,0,0,2.0,1.0
8,52.0,24.5,0.5218149362971065,0.0,1.0,0.0,13000.0,0,0,0,0.0,0,0,1,0,2.0,1.0
9,52.0,4.5,0.5615310319383646,1.0,0.0,1.0,11000.0,0,0,0,1.0,0,0,1,0,1.0,3.0
10,72.5,45.0,0.6203612640126029,1.0,1.0,1.0,10000.0,6,2,7,0.0,0,0,0,1,1.0,3.0
11,72.5,45.0,0.7298308815593941,1.0,1.0,0.0,12000.0,4,0,0,0.0,0,0,0,0,1.0,3.0
12,52.0,24.5,0.6370447435902447,1.0,1.0,1.0,8000.0,4,1,2,0.0,0,0,1,1,1.0,3.0
13,20.5,4.5,0.59125997174597,1.0,0.0,1.0,11697.003206900365,0,0,0,0.0,0,0,1,0,2.0,3.0
14,32.5,14.5,0.4615679630439447,1.0,1.0,1.0,12000.0,0,2,1,0.0,0,0,1,1,1.0,2.0
15,32.5,4.5,0.7627979410816134,0.0,1.0,0.0,11697.003206900365,0,0,0,0.0,0,0,0,0,1.0,3.0
16,72.5,45.0,0.7961748462456987,1.0,1.0,1.0,11697.003206900365,10,2,1,0.0,0,0,1,1,2.0,3.0
17,20.5,4.5,0.5158128096027941,0.0,1.0,0.0,12000.0,0,0,0,1.0,0,0,1,1,0.0,0.0
18,32.5,4.5,0.6805942795073384,1.0,0.0,1.0,11697.003206900365,0,0,0,1.0,0,0,1,0,2.0,3.0
19,20.5,4.5,0.4177139816231188,1.0,0.0,1.0,18000.0,0,0,0,1.0,0,0,1,0,1.0,1.0
20,20.5,4.5,0.4095135306516067,0.0,0.0,0.0,17000.0,0,0,0,1.0,0,0,1,0,1.0,1.0
21,20.5,4.5,0.5532600531952381,1.0,1.0,1.0,8000.0,0,0,0,1.0,0,0,0,1,1.0,2.0
22,52.0,24.5,0.3309502618581893,1.0,1.0,1.0,13000.0,3,1,1,0.0,0,0,1,1,0.0,0.0
23,20.5,4.5,0.5158128096027941,0.0,0.0,0.0,17000.0,0,0,0,0.0,0,0,1,1,0.0,0.0
24,72.5,45.0,0.5006306604427161,1.0,1.0,1.0,7000.0,13,2,3,0.0,0,0,1,1,1.0,3.0
25,32.5,14.5,0.5519701813636283,1.0,1.0,0.0,14000.0,0,0,0,0.0,1,0,1,0,2.0,2.0
26,52.0,14.5,0.6269960497386653,1.0,0.0,0.0,13000.0,1,1,0,0.0,0,0,1,1,1.0,2.0
27,32.5,14.5,0.2947974807719967,1.0,1.0,0.0,15000.0,0,0,1,0.0,0,0,1,1,0.0,0.0
28,32.5,14.5,0.5519504952618395,0.0,0.0,0.0,17000.0,0,0,1,0.0,0,0,0,1,2.0,2.0
29,72.5,4.5,0.649820471216227,1.0,1.0,1.0,9000.0,0,0,0,1.0,0,0,0,1,2.0,3.0
30,52.0,24.5,0.5218044346397632,1.0,1.0,1.0,7000.0,2,0,1,0.0,0,0,0,1,1.0,2.0
31,72.5,45.0,0.7012683240604196,1.0,1.0,1.0,10000.0,3,1,1,0.0,0,0,1,0,2.0,3.0
32,20.5,4.5,0.1712440288213211,1.0,1.0,1.0,9000.0,0,0,0,0.0,0,0,1,1,0.0,0.0
33,20.5,4.5,0.3184419972124171,1.0,0.0,1.0,10000.0,0,0,0,1.0,0,0,1,1,0.0,0.0
34,32.5,4.5,0.6046842696715551,1.0,1.0,1.0,11000.0,0,0,0,1.0,0,0,1,0,1.0,2.0
35,20.5,4.5,0.5049948526440377,0.0,0.0,0.0,8000.0,0,0,0,1.0,0,0,0,1,2.0,1.0
36,32.5,14.5,0.6251466352816216,1.0,0.0,1.0,17000.0,3,0,2,0.0,0,0,1,1,1.0,1.0
37,52.0,14.5,0.5158128096027941,1.0,1.0,1.0,11000.0,2,0,1,0.0,0,0,1,0,0.0,2.0
38,72.5,45.0,0.5158128096027941,0.0,0.0,1.0,12000.0,6,0,5,0.0,1,0,0,1,2.0,3.0
39,52.0,14.5,0.5781305873212035,1.0,0.0,1.0,14000.0,1,0,1,0.0,0,0,1,1,2.0,3.0
40,72.5,45.0,0.7054542902137054,1.0,1.0,1.0,10000.0,5,1,3,0.0,0,0,1,1,1.0,3.0
41,52.0,24.5,0.6595254905875941,1.0,0.0,1.0,16000.0,4,0,2,0.0,0,0,0,1,2.0,3.0
42,52.0,24.5,0.5873836120460223,0.0,1.0,1.0,9000.0,10,2,0,0.0,0,0,0,1,2.0,3.0
43,20.5,4.5,0.4064824253974476,0.0,0.0,0.0,16000.0,0,0,0,1.0,0,0,1,1,0.0,0.0
44,32.5,14.5,0.2857471319596469,0.0,0.0,1.0,13000.0,1,0,0,1.0,0,0,1,0,1.0,0.0
45,52.0,24.5,0.5022849652731057,0.0,0.0,0.0,14000.0,3,0,4,0.0,1,0,1,1,1.0,2.0
46,72.5,24.5,0.6256257210210231,1.0,1.0,1.0,7000.0,7,0,5,0.0,0,0,0,1,1.0,3.0
47,52.0,24.5,0.5158128096027941,1.0,1.0,1.0,11000.0,3,0,2,0.0,0,0,0,0,2.0,3.0
48,32.5,14.5,0.3931531299744003,1.0,0.0,1.0,12000.0,1,0,0,0.0,0,1,1,0,2.0,1.0
49,32.5,14.5,0.5039497598168121,0.0,0.0,1.0,14000.0,1,0,0,0.0,0,1,1,0,0.0,1.0
50,52.0,24.5,0.6586274302571438,1.0,1.0,0.0,14000.0,3,0,2,0.0,0,0,1,1,2.0,3.0
51,32.5,4.5,0.5241464657501199,0.0,0.0,0.0,17000.0,0,0,0,1.0,0,0,1,0,1.0,1.0
52,72.5,24.5,0.5531007570628673,0.0,1.0,1.0,7000.0,9,0,1,0.0,0,0,0,1,2.0,3.0
53,20.5,4.5,0.4475509489142775,0.0,1.0,1.0,8000.0,0,0,0,1.0,0,0,1,0,2.0,1.0
54,20.5,4.5,0.5107331365064207,1.0,1.0,1.0,7000.0,0,0,0,1.0,0,0,1,0,0.0,1.0
55,32.5,14.5,0.5158128096027941,1.0,1.0,0.0,15000.0,0,0,0,0.0,0,0,0,0,1.0,2.0
56,20.5,4.5,0.4613735917269193,0.0,0.0,0.0,9000.0,0,0,0,1.0,0,0,1,0,1.0,0.0
57,52.0,24.5,0.3875569443647317,0.0,0.0,1.0,12000.0,2,0,1,0.0,0,0,0,0,2.0,2.0
58,52.0,24.5,0.5701572256616224,1.0,1.0,1.0,11697.003206900365,0,0,0,0.0,0,0,0,0,2.0,2.0
59,32.5,14.5,0.5501250875743224,1.0,0.0,0.0,16000.0,0,1,0,0.0,0,0,1,1,2.0,1.0
60,52.0,24.5,0.4529442316093683,0.0,1.0,1.0,12000.0,3,0,1,0.0,0,0,1,1,1.0,1.0
61,32.5,14.5,0.5158128096027941,1.0,1.0,1.0,8000.0,2,0,1,0.0,0,0,1,1,2.0,3.0
62,52.0,24.5,0.5352743096602144,1.0,1.0,1.0,7000.0,2,0,0,0.0,0,0,1,0,1.0,3.0
63,20.5,4.5,0.6147359485632915,1.0,0.0,1.0,15000.0,0,0,0,1.0,0,0,1,0,2.0,2.0
64,52.0,24.5,0.4544471564329259,1.0,1.0,1.0,11697.003206900365,1,0,1,0.0,0,1,1,0,1.0,0.0
65,52.0,4.5,0.6137409183819416,1.0,0.0,0.0,11697.003206900365,0,0,0,0.0,0,0,1,0,2.0,3.0
66,52.0,14.5,0.5326613280250595,1.0,1.0,1.0,11000.0,0,0,0,0.0,0,1,1,0,1.0,1.0
67,52.0,4.5,0.4277285143019345,1.0,0.0,0.0,15000.0,0,0,0,1.0,0,1,1,0,2.0,2.0
68,72.5,24.5,0.6859457213719147,1.0,1.0,1.0,5000.0,4,1,4,0.0,0,0,1,1,2.0,3.0
69,72.5,14.5,0.6936124267187082,1.0,1.0,1.0,10000.0,2,0,0,0.0,0,0,1,1,2.0,3.0
70,72.5,24.5,0.5979905963582334,0.0,1.0,1.0,12000.0,2,1,7,1.0,0,0,1,1,1.0,3.0
71,32.5,4.5,0.3308186664986927,0.0,1.0,1.0,12000.0,0,0,0,1.0,0,0,0,1,0.0,0.0
72,52.0,24.5,0.5158128096027941,1.0,0.0,0.0,12000.0,5,0,7,0.0,0,0,1,1,1.0,1.0
73,32.5,14.5,0.5158128096027941,1.0,0.0,1.0,9000.0,2,0,0,0.0,0,1,1,0,0.0,1.0
74,20.5,4.5,0.5083042183803546,1.0,0.0,1.0,16000.0,0,0,0,0.0,0,0,1,1,1.0,2.0
75,32.5,4.5,0.7641329165005233,1.0,1.0,1.0,12000.0,0,0,0,0.0,0,0,1,0,2.0,3.0
76,52.0,4.5,0.4775169603837716,1.0,1.0,1.0,14000.0,0,0,0,0.0,0,0,0,0,2.0,2.0
77,52.0,24.5,0.6812332078486962,1.0,1.0,1.0,10000.0,0,0,1,0.0,0,0,1,0,2.0,3.0
78,52.0,4.5,0.4671555457007022,1.0,0.0,0.0,16000.0,0,0,0,0.0,0,0,0,1,2.0,3.0
79,20.5,4.5,0.3941632454999797,1.0,0.0,0.0,16000.0,0,0,0,1.0,0,0,1,0,1.0,1.0
80,52.0,14.5,0.6610607322734078,1.0,1.0,1.0,14000.0,0,0,0,0.0,0,0,0,0,2.0,3.0
81,52.0,24.5,0.6651879748430346,0.0,0.0,1.0,14000.0,2,0,1,0.0,0,0,1,1,2.0,3.0
82,20.5,4.5,0.560770206632082,1.0,0.0,1.0,11000.0,0,0,0,0.0,0,0,1,0,1.0,2.0
83,32.5,14.5,0.7454327103696547,0.0,0.0,0.0,9000.0,0,0,0,0.0,0,0,0,0,2.0,3.0
84,32.5,14.5,0.53257435224505,1.0,1.0,1.0,13000.0,1,0,2,0.0,0,0,1,1,2.0,2.0
85,32.5,14.5,0.5267473391434415,1.0,0.0,1.0,14000.0,0,0,0,0.0,0,0,0,0,1.0,2.0
86,20.5,4.5,0.4124517461654282,0.0,0.0,0.0,14000.0,0,0,0,1.0,0,1,1,0,0.0,0.0
87,52.0,24.5,0.3871071449018297,0.0,0.0,1.0,16000.0,0,0,6,0.0,0,0,1,1,1.0,1.0
88,72.5,14.5,0.5499938678343249,1.0,1.0,1.0,9000.0,3,1,1,0.0,0,0,1,1,1.0,2.0
89,20.5,4.5,0.5853420947575604,1.0,1.0,1.0,12000.0,0,0,0,1.0,1,0,1,1,2.0,3.0
90,72.5,45.0,0.5987396054343311,1.0,1.0,1.0,14000.0,6,1,3,0.0,0,0,1,1,0.0,2.0
91,52.0,24.5,0.6026557000791793,1.0,1.0,1.0,7000.0,4,0,6,0.0,0,0,0,1,2.0,3.0
92,32.5,4.5,0.5114570584803535,1.0,1.0,1.0,11697.003206900365,0,0,0,0.0,0,0,0,0,1.0,1.0
93,52.0,24.5,0.5586591735288894,0.0,0.0,1.0,15000.0,3,0,2,0.0,0,0,1,0,1.0,3.0
94,52.0,14.5,0.6284070137170304,0.0,0.0,0.0,13000.0,0,0,0,1.0,0,0,1,1,1.0,1.0
95,52.0,4.5,0.5057903732571783,1.0,0.0,1.0,13000.0,0,0,0,0.0,0,0,1,1,1.0,1.0
96,32.5,14.5,0.7268184180645275,1.0,1.0,1.0,15000.0,2,0,0,0.0,0,0,1,0,2.0,3.0
97,72.5,24.5,0.6904423335733175,1.0,1.0,1.0,9000.0,8,0,2,0.0,0,0,0,1,2.0,3.0
98,52.0,24.5,0.4796771646619314,0.0,1.0,0.0,14000.0,1,0,2,0.0,0,0,0,1,2.0,3.0
99,32.5,14.5,0.5158128096027941,1.0,1.0,1.0,11000.0,3,1,0,0.0,0,0,0,1,2.0,3.0
100,52.0,24.5,0.4405592041968235,1.0,1.0,1.0,11000.0,1,0,2,0.0,0,0,0,0,0.0,1.0
101,20.5,4.5,0.634052597196068,1.0,0.0,1.0,11697.003206900365,0,0,0,1.0,0,0,1,0,0.0,2.0
102,20.5,4.5,0.4574695879943666,0.0,0.0,0.0,11697.003206900365,0,0,0,0.0,0,0,1,0,1.0,0.0
103,32.5,4.5,0.3086490182004943,0.0,0.0,1.0,14000.0,0,0,0,0.0,0,0,1,1,0.0,0.0
104,20.5,4.5,0.2458351852340737,0.0,1.0,1.0,11000.0,0,0,0,1.0,0,0,1,1,1.0,0.0
105,20.5,4.5,0.3056465190413162,0.0,0.0,0.0,14000.0,0,0,0,1.0,0,0,1,1,1.0,0.0
106,32.5,14.5,0.7440140862681482,1.0,0.0,0.0,13000.0,2,0,1,0.0,0,0,1,1,1.0,3.0
107,52.0,14.5,0.6704645467899408,1.0,1.0,1.0,14000.0,0,0,0,0.0,0,0,0,1,2.0,3.0
108,72.5,45.0,0.6830407984824192,0.0,1.0,1.0,10000.0,4,1,3,0.0,0,0,0,0,1.0,3.0
109,20.5,4.5,0.828628569053192,1.0,0.0,0.0,13000.0,0,0,0,1.0,0,0,1,1,2.0,2.0
110,72.5,45.0,0.5158128096027941,1.0,1.0,1.0,10000.0,12,2,2,0.0,0,0,1,1,0.0,2.0
111,72.5,45.0,0.6293380939717407,1.0,1.0,0.0,11000.0,2,0,2,0.0,0,0,1,0,1.0,3.0
112,20.5,4.5,0.28372421050714,0.0,0.0,1.0,15000.0,0,0,0,1.0,0,0,1,1,1.0,0.0
113,20.5,4.5,0.4576486815858435,1.0,0.0,0.0,14000.0,0,0,0,1.0,1,0,0,1,2.0,1.0
114,20.5,4.5,0.3049876423937953,0.0,0.0,0.0,15000.0,0,0,0,1.0,0,0,1,0,1.0,0.0
115,20.5,4.5,0.5517442884135392,0.0,1.0,1.0,10000.0,0,0,0,1.0,0,0,1,1,1.0,1.0
116,20.5,4.5,0.3186855562451054,1.0,1.0,0.0,9000.0,0,0,0,1.0,0,1,1,1,0.0,0.0
117,32.5,14.5,0.436944194154781,1.0,0.0,0.0,12000.0,3,0,0,0.0,0,1,1,1,0.0,1.0
118,52.0,14.5,0.6291939843221722,1.0,1.0,1.0,7000.0,5,0,1,0.0,0,0,1,1,2.0,3.0
119,20.5,4.5,0.4055600158887265,1.0,0.0,0.0,17000.0,0,0,0,1.0,0,0,1,1,2.0,1.0
120,20.5,4.5,0.6235462115803201,1.0,1.0,0.0,11000.0,0,0,0,0.0,0,0,1,1,2.0,2.0
121,72.5,14.5,0.7270329897821235,1.0,1.0,1.0,10000.0,1,1,2,0.0,0,0,1,1,2.0,3.0
122,72.5,24.5,0.426828388879915,1.0,1.0,0.0,14000.0,3,1,7,0.0,0,0,1,1,0.0,1.0
